Фамилия;Имя;Отчество;рейтинг
Волков;Давид;Тимофеевич;0
Шмелев;Лев;Михайлович;1
Митрофанов;Андрей;Михайлович;2
Алексеев;Владислав;Тимофеевич;3
Родионов;Роман;Михайлович;4
Королев;Кирилл;Львович;5
Александров;Александр;Сергеевич;6
Кузнецов;Сергей;Андреевич;7
Дроздов;Даниил;Тимофеевич;8
Соболев;Артём;Маркович;9
Губанов;Данила;Александрович;10
Дубровин;Матвей;Дмитриевич;11
Цветков;Руслан;Александрович;12
Рыбаков;Михаил;Миронович;13
Фадеев;Константин;Глебович;14
Андреев;Тимур;Романович;15
Калашников;Степан;Ярославович;16
Николаев;Леонид;Петрович;17
Федотов;Артемий;Александрович;18
Гончаров;Захар;Константинович;19
Савин;Платон;Кириллович;20
Абрамов;Руслан;Артёмович;21
Маслов;Даниил;Максимович;22
Белов;Лев;Дмитриевич;23
Симонов;Александр;Данилович;24
Захаров;Кирилл;Павлович;25
Некрасов;Елисей;Львович;26
Овчинников;Павел;Кириллович;27
Акимов;Илья;Ильич;28
Малинин;Богдан;Кириллович;29
Сергеев;Владимир;Михайлович;30
Дмитриев;Глеб;Тимурович;31
Овсянников;Лев;Егорович;32
Воронин;Александр;Павлович;33
Фролов;Василий;Тимофеевич;34
Лукин;Константин;Арсентьевич;35
Степанов;Платон;Михайлович;36
Жаров;Иван;Егорович;37
Субботин;Макар;Ярославович;38
Мартынов;Максим;Андреевич;39
Одинцов;Михаил;Михайлович;40
Дорохов;Кирилл;Глебович;41
Комаров;Дмитрий;Владиславович;42
Тимофеев;Михаил;Маркович;43
Добрынин;Дмитрий;Дмитриевич;44
Щербаков;Георгий;Даниилович;45
Чернышев;Григорий;Максимович;46
Коротков;Константин;Глебович;47
Соколов;Ярослав;Викторович;48
Кочетов;Владимир;Захарович;49
Филиппов;Никита;Тимурович;50
Давыдов;Артём;Николаевич;51
Еремин;Алексей;Артёмович;52
Сахаров;Фёдор;Фёдорович;53
Васильев;Ярослав;Леонидович;54
Васильев;Пётр;Денисович;55
Соколов;Алексей;Ильич;56
Москвин;Мирон;Антонович;57
Бородин;Степан;Максимович;58
Родионов;Максим;Данисович;59
Семенов;Александр;Ярославович;60
Сорокин;Александр;Алексеевич;61
Ерофеев;Кирилл;Иванович;62
Корнеев;Макар;Михайлович;63
Калинин;Платон;Маркович;64
Поздняков;Артём;Владимирович;65
Ульянов;Кирилл;Ильич;66
Орлов;Александр;Александрович;67
Мальцев;Никита;Александрович;68
Данилов;Михаил;Германович;69
Николаев;Марк;Игоревич;70
Гаврилов;Михаил;Максимович;71
Тимофеев;Дмитрий;Николаевич;72
Зайцев;Алексей;Сергеевич;73
Евдокимов;Андрей;Евгеньевич;74
Королев;Илья;Степанович;75
Павлов;Иван;Савельевич;76
Зубов;Всеволод;Кириллович;77
Анисимов;Владимир;Матвеевич;78
Костин;Николай;Михайлович;79
Поляков;Захар;Вадимович;80
Жуков;Артём;Тимофеевич;81
Агеев;Юрий;Иванович;82
Иванов;Максим;Даниилович;83
Борисов;Лев;Львович;84
Никитин;Иван;Максимович;85
Попов;Сергей;Михайлович;86
Филиппов;Ярослав;Макарович;87
Кудрявцев;Марсель;Адамович;88
Большаков;Владислав;Александрович;89
Федоров;Глеб;Кириллович;90
Алексеев;Александр;Семёнович;91
Сазонов;Владимир;Платонович;92
Дмитриев;Александр;Михайлович;93
Пирогов;Максим;Иванович;94
Кукушкин;Никита;Маркович;95
Головин;Александр;Матвеевич;96
Кочетков;Тимур;Константинович;97
Федоров;Максим;Владимирович;98
Новиков;Макар;Егорович;99
